Gene,Importance
RGS1,0.05326786372439746
CLEC4E,0.04216473719156557
RCN1,0.03444758848711596
APOH,0.03037731402073832
KIAA0319,0.028573713727987626
SLCO2A1,0.02669009246324618
MAPT,0.026617594024947077
NBPF1,0.02323998994433017
COL22A1,0.021694087895510025
SYT13,0.020799507042318807
PRAME,0.01984287745786957
ADCY4,0.018997691057678023
PSMD14,0.018660653939729724
DNAJC12,0.018289107944864977
PLPP2,0.018098493372762356
SHE,0.017675669415208234
RALGAPA1,0.017652930204556563
ID3,0.01751394649985148
EXOC3L2,0.01648006207643897
RAMP3,0.016374034935100066
OVCH1,0.016304980094346416
NNMT,0.015588410369851253
ADORA2A,0.01486846238622696
IL17RD,0.014601584706977316
CCDC85A,0.014059307183985117
APLNR,0.01398276931138556
ZNF366,0.013503579575978128
MAT1A,0.012981252897010605
PKIB,0.012667702683341785
PER3,0.012591714815833351
WFDC3,0.01247933003507544
NPEPL1,0.011965570322570486
CD82,0.011879721925919679
MYCT1,0.011608585076798107
ID1,0.010955427323165217
TRIB2,0.010730869503585195
ADAM20,0.010264104995654014
TMEM88,0.009906534298751001
SLC22A15,0.009789220623844025
PDPR,0.009639407740977763
FGFBP2,0.00948659510756817
NCS1,0.009482848503360347
PTPRG,0.009420837033008065
CEBPB,0.009267252789900588
CYYR1,0.009250696897885187
EGFL7,0.008307832578042983
RGS2,0.00827836373558917
TXNDC12,0.008001105735876179
EMCN,0.007896402545442095
CALCRL,0.007837230787294763
TIMP3,0.007784475937319478
P2RY8,0.007611881443376151
KCNN3,0.0074723099655656855
MFSD2A,0.007386660514405392
C1S,0.007363843219008892
PDE7B,0.006934417791342545
ZFYVE21,0.006452886631592572
SEMA3G,0.006441979553278017
KDR,0.006259633363099794
MOCOS,0.006218728543552727
CLEC14A,0.005818361329639716
CCM2L,0.005780608590284856
TEK,0.005747400075854151
TLR2,0.005583811749696372
IL20RB,0.005527689290587045
FXYD6,0.005522797192170881
SCN4B,0.005333127954570877
PODXL,0.005277444837451538
PDE2A,0.005200639702812504
GJA5,0.0051253409269780585
MCF2L,0.004783939714445919
PTPRB,0.004558618384129642
ZNF154,0.004535058930008038
ERG,0.004440107814244204
GNLY,0.0044139551648101705
KANK3,0.004344293903900134
DDI1,0.003914100471005172
NME1,0.003654324152718168
EPHA4,0.003505859370723723
CLMN,0.003246175084056994
PALMD,0.0029124428432907483
PDGFD,0.002518279974704783
CCL14,0.002006754689745504
USHBP1,0.0012663938781674313
